cluster,x,y
0,29.9419,-0.8411
0,35.0062,1.0157
0,34.6333,-11.0833
0,35.5888,6.9986
0,32.1833,12.35
0,38.8783,15.5091
0,7.0186,8.8835
0,8.3554,8.3931
0,7.9337,11.916
0,4.0498,7.3772
0,5.2,9.4333
0,10.4707,2.0164
0,28.7425,-25.8102
0,27.152,-23.1072
0,22.7167,-20.4667
0,21.2572,-34.0934
0,-1.0924,35.3914
0,-5.2733,34.6745
0,3.6912,36.1477
0,2.4475,36.5897
0,-5.1501,42.0328
0,-6.4003,40.7058
0,-3.3239,39.9019
0,1.3519,43.4798
0,-0.4896,53.8195
0,-0.2355,51.9327
0,-2.3333,53.35
0,-2.9167,51.9333
0,15.0448,40.2263
0,15.3237,40.1516
0,20.4144,43.7467
0,26.1047,35.2078
0,14.3011,50.6611
0,12.2237,52.8856
0,19.4933,51.1689
0,7.5169,50.623
0,6.4943,45.862
0,12.251,45.9139
1,-97.477,35.1412
1,-97.0384,37.062
1,-93.5761,44.5433
1,-89.2853,32.4513
1,-86.7792,36.0251
1,-86.1155,40.8223
1,-78.2181,39.0834
1,-78.4067,36.3082
1,-73.9976,40.8482
1,-72.6779,40.8812
1,-92.2568,14.5623
1,-91.4724,17.0841
1,-99.4697,19.0181
1,-99.3321,19.4815
1,-100.7468,20.6725
1,-79.0333,9.5167
1,-122.1018,47.9934
1,-122.5255,37.9044
1,-55.5809,-27.3674
1,-57.8809,-36.8627
2,115.9667,-32.0333
2,115.9667,-31.8833
2,115.8126,-32.0332
2,116.4752,-32.8007
2,117.1465,-20.7723
2,107.5368,-7.4035
2,105.7007,-6.7454
2,111.2145,-6.7089
2,152.7502,-27.6423
2,152.8601,-27.6128
2,153.1532,-27.4919
2,153.4307,-29.1178
2,152.5625,-25.1083
2,150.9154,-33.6821
2,151.0078,-33.8229
2,151.1509,-33.6208
2,151.069,-34.0383
2,150.4857,-34.401
2,150.5366,-34.7381
2,147.151,-41.4384
2,145.5565,-42.0805
2,144.7666,-37.7672
2,138.5433,-35.2189
2,138.9283,-33.6717
3,101.1556,19.1503
3,103.831,25.7572
3,110.3255,19.4429
3,109.9603,20.898
3,98.339,7.8447
3,122.0171,11.7403
3,123.09,10.9329
3,120.9051,15.0292
3,113.3,25.3722
3,117.9856,26.9609
3,113.5469,31.2294
3,110.8289,30.9357
3,116.1376,39.728
3,116.4336,40.025
3,82.6712,53.5044
3,73.6758,42.8247
3,81.1075,26.7679
3,50.315,33.2205
