cluster,x,y
0,31.25,34.0
0,49.35,40.0
0,58.07,45.0
0,46.63,43.0
0,52.97,32.0
0,46.25,35.0
0,55.68,37.0
0,37.14,41.0
0,56.04,39.0
0,33.64,45.0
0,41.67,33.0
0,50.68,39.0
0,54.22,35.0
0,46.16,41.0
0,49.66,33.0
0,38.61,37.0
0,55.28,36.0
0,57.87,41.0
0,53.83,32.0
1,71.24,28.0
1,52.53,25.0
1,64.54,27.0
1,55.69,22.0
1,54.58,25.0
1,58.64,20.0
1,55.73,19.0
1,51.55,27.0
1,57.05,26.0
1,58.45,30.0
1,55.15,18.0
1,59.26,32.0
1,64.3,29.0
1,56.2,29.0
1,61.69,12.0
1,62.98,22.0
2,41.91,10.0
2,52.02,8.0
2,44.31,19.0
2,44.22,22.0
2,43.42,23.0
2,43.84,22.0
2,45.75,16.0
2,45.97,23.0
2,50.22,24.0
2,37.41,21.0
